T,TID,PID,X,Y,Z
92.50888,1,4,-0.5618854,1.136455,-0.03413367
92.52155,1,4,-0.5851262,1.127624,-0.0361076
92.53575,1,4,-0.6058497,1.120497,-0.03798956
92.54919,1,4,-0.623726,1.115719,-0.03930563
92.56295,1,4,-0.6388409,1.112847,-0.0395031
92.57748,1,4,-0.6544641,1.109248,-0.03907168
92.5978,1,4,-0.6703324,1.105044,-0.03909802
92.60516,1,4,-0.6847293,1.10067,-0.03729528
92.61762,1,4,-0.6986532,1.095745,-0.0355888
92.63134,1,4,-0.7120885,1.090309,-0.0333634
92.64554,1,4,-0.7247142,1.084083,-0.03036731
92.66008,1,4,-0.7355723,1.077968,-0.02676386
92.67571,1,4,-0.7442808,1.073032,-0.0229066
92.68819,1,4,-0.7518823,1.06934,-0.02000982
92.70193,1,4,-0.7653567,1.063213,-0.02240342
92.71659,1,4,-0.7698011,1.056486,-0.02159637
92.73,1,4,-0.7733366,1.055778,-0.02326441
92.74462,1,4,-0.7756125,1.054734,-0.02180654
92.75853,1,4,-0.7774826,1.05369,-0.02061349
92.77176,1,4,-0.7751231,1.05771,-0.01884317
92.78574,1,4,-0.771713,1.064448,-0.01880211
92.79974,1,4,-0.7670351,1.075201,-0.02026981
92.81428,1,4,-0.760653,1.089044,-0.02271193
92.82822,1,4,-0.7546356,1.100659,-0.02494818
92.84255,1,4,-0.7492042,1.112218,-0.02700102
92.85625,1,4,-0.744855,1.123077,-0.02899492
92.86939,1,4,-0.7357501,1.137748,-0.02943367
92.88344,1,4,-0.7281298,1.154645,-0.0296728
92.89771,1,4,-0.7196526,1.171801,-0.03055304
92.91123,1,4,-0.7084364,1.193249,-0.03175914
92.92514,1,4,-0.6973335,1.214703,-0.03149265
92.94039,1,4,-0.6842906,1.239216,-0.03164506
92.95352,1,4,-0.6717967,1.262189,-0.03141713
92.96685,1,4,-0.6582873,1.285357,-0.03128606
92.98102,1,4,-0.6436396,1.309253,-0.03126556
92.99631,1,4,-0.6290379,1.332535,-0.03164899
93.00959,1,4,-0.6144118,1.354937,-0.03227121
93.02335,1,4,-0.5993947,1.376666,-0.03321648
93.03706,1,4,-0.5844765,1.397605,-0.03422743
93.05048,1,4,-0.5689352,1.418033,-0.0349862
93.06431,1,4,-0.5536905,1.437415,-0.0358392
93.07988,1,4,-0.5383898,1.455241,-0.03650123
93.09221,1,4,-0.5234486,1.4716,-0.03719813
93.10676,1,4,-0.5088903,1.486225,-0.0372355
93.12103,1,4,-0.4951124,1.500089,-0.03724223
93.13414,1,4,-0.4824097,1.512698,-0.0380702
93.14771,1,4,-0.4704422,1.524516,-0.03876102
93.1618,1,4,-0.4596148,1.535352,-0.0390445
93.17761,1,4,-0.4503855,1.544769,-0.03832078
93.1895,1,4,-0.4430204,1.55236,-0.03577203
93.20344,1,4,-0.4359926,1.557699,-0.03005177
93.21915,1,4,-0.4340587,1.559352,-0.02321357
93.23154,1,4,-0.4282696,1.559783,-0.01811379
93.24577,1,4,-0.422689,1.562605,-0.01561826
93.2608,1,4,-0.4175921,1.561911,-0.01396179
93.27389,1,4,-0.4116544,1.560337,-0.01257765
93.28688,1,4,-0.4063394,1.556944,-0.01165885
93.30173,1,4,-0.4047343,1.551278,-0.01213503
93.31535,1,4,-0.4062404,1.542715,-0.01474708
93.32858,1,4,-0.4111606,1.531625,-0.01763129
93.34344,1,4,-0.414296,1.5179,-0.01891452
93.35818,1,4,-0.4156864,1.502825,-0.02143067
93.3703,1,4,-0.4161999,1.48649,-0.02384531
93.38479,1,4,-0.416875,1.469979,-0.02583873
93.39904,1,4,-0.4177068,1.449589,-0.02867013
93.41231,1,4,-0.4187995,1.430442,-0.03025359
